Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
Fireworks & Rollerblades,Benson Boone,4jWCFYhDAqOLClw5dFvk8O,There She Goes,spotify:track:4jWCFYhDAqOLClw5dFvk8O,0.176,0.324,67,0.0856,0.255,0.215,0.0,1,0.675
Bad For Me,Chayce Beckham,4QLQakIfGYdSBtkTKMYZmu,Drink You Off My Mind,spotify:track:4QLQakIfGYdSBtkTKMYZmu,0.00912,0.609,40,0.0385,0.574,0.385,6.03E-4,1,0.923
Townie,X Ambassadors,2RvAYUjhQy1LA5R9156WSB,Follow the Sound of My Voice,spotify:track:2RvAYUjhQy1LA5R9156WSB,0.729,0.475,43,0.0261,0.297,0.132,5.84E-6,1,0.394
Fireworks & Rollerblades,Benson Boone,0UMYAu9R05dDc4dWh5xWhd,Friend,spotify:track:0UMYAu9R05dDc4dWh5xWhd,0.783,0.507,65,0.0909,0.304,0.107,0.0,1,0.543
Papercuts,Linkin Park,0LZpZsEaugeerkqpIDzPHe,Somewhere I Belong,spotify:track:0LZpZsEaugeerkqpIDzPHe,3.09E-4,0.424,"",0.0702,0.39,0.272,0.0,1,0.929
Forever To Me,Cole Swindell,2j3HIMVaepfCQtS6EE7NV5,3 Feet Tall,spotify:track:2j3HIMVaepfCQtS6EE7NV5,0.741,0.606,"",0.0359,0.472,0.0619,0.0,1,0.679
Townie,X Ambassadors,2GZVO9QH3pN8LTYJyoaix0,Women's Jeans,spotify:track:2GZVO9QH3pN8LTYJyoaix0,0.252,0.443,41,0.215,0.376,0.553,4.36E-5,1,0.638
Bryson Tiller,Bryson Tiller,7tr8SXmP9j0uVqUU0qoapb,Attention,spotify:track:7tr8SXmP9j0uVqUU0qoapb,0.0735,0.568,68,0.0576,0.496,0.0967,2.28E-5,0,0.731
Silence Is Loud,Nia Archives,2FlY3tYbBDOExnLhjUZxlc,Silence Is Loud,spotify:track:2FlY3tYbBDOExnLhjUZxlc,1.24E-4,0.445,"",0.132,0.458,0.698,0.714,0,0.927
11:11 (Deluxe),Chris Brown,3G5pmIEXVDrEERi5OYSKWb,Moonlight,spotify:track:3G5pmIEXVDrEERi5OYSKWb,0.0684,0.565,19,0.066,0.515,0.152,0.0,0,0.727
Silence Is Loud,Nia Archives,6c21bVRfGC8IOXvQVQ2UTb,Forbidden Feelingz,spotify:track:6c21bVRfGC8IOXvQVQ2UTb,0.148,0.51,"",0.152,0.583,0.179,0.279,0,0.783
All I Ever Want Is Everything,Blu DeTiger,76rW1yADQ3OJlUKBxyj7fB,Hey You,spotify:track:76rW1yADQ3OJlUKBxyj7fB,0.00203,0.844,33,0.0543,0.843,0.317,0.0227,1,0.731
11:11 (Deluxe),Chris Brown,4kA2KmEZg6FudWdWQvkfow,Feel Something,spotify:track:4kA2KmEZg6FudWdWQvkfow,0.0138,0.641,22,0.0336,0.177,0.12,0.0,1,0.509
genre : sadboy,mgk,3jJNV9XLsjWktDjqGHXh94,half dead,spotify:track:3jJNV9XLsjWktDjqGHXh94,0.674,0.592,67,0.0463,0.271,0.0859,0.0,0,0.443
COWBOY CARTER,Beyoncé,6XXxKsu3RJeN3ZvbMYrgQW,16 CARRIAGES,spotify:track:6XXxKsu3RJeN3ZvbMYrgQW,0.382,0.525,82,0.0798,0.342,0.167,0.0,1,0.456
11:11 (Deluxe),Chris Brown,5AeEH69Mp87Zx3wNmyeAK0,Bruce Lee,spotify:track:5AeEH69Mp87Zx3wNmyeAK0,0.575,0.457,39,0.0571,0.463,0.128,0.0,0,0.594
Sweet Boy,Malcolm Todd,59c2xv2kMzYM6HR9oY6BIa,Sweet Boy,spotify:track:59c2xv2kMzYM6HR9oY6BIa,0.367,0.774,46,0.0309,0.707,0.298,2.75E-6,0,0.371
A Bar Song (Tipsy),Shaboozey,1SviOIgEA8sEPVgYEdCpnh,A Bar Song (Tipsy),spotify:track:1SviOIgEA8sEPVgYEdCpnh,0.0477,0.572,"",0.035,0.369,0.374,0.0,1,0.777
Pandora,Wisp,1z8nQqjNwNtuj0aoALh7gf,Enough for you,spotify:track:1z8nQqjNwNtuj0aoALh7gf,2.45E-4,0.518,45,0.0354,0.239,0.111,0.704,1,0.639
Only God Was Above Us,Vampire Weekend,4oAGV7IADPWfkpk6aGQqZt,Capricorn,spotify:track:4oAGV7IADPWfkpk6aGQqZt,0.142,0.566,64,0.0303,0.558,0.0929,7.43E-4,1,0.641
Endiamantado / Entre las de 20,Bizarrap,3184c0tjCakg9oaNZYJODD,Entre las de 20,spotify:track:3184c0tjCakg9oaNZYJODD,0.145,0.757,80,0.0471,0.737,0.106,0.0,0,0.682
Ohio Players,The Black Keys,4c7iXNRiy72rMXfRTR9V0V,On The Game,spotify:track:4c7iXNRiy72rMXfRTR9V0V,0.0131,0.313,65,0.0335,0.412,0.122,6.58E-4,1,0.791
Might Delete Later,J. Cole,1tTKy8pW1dMaXJm7bYrSzA,Stickz N Stonez,spotify:track:1tTKy8pW1dMaXJm7bYrSzA,0.194,0.535,76,0.386,0.471,0.311,0.0,0,0.726
Might Delete Later,J. Cole,4E2fOeF5A6onC10OtnjXJa,Trae The Truth in Ibiza,spotify:track:4E2fOeF5A6onC10OtnjXJa,0.121,0.488,75,0.0987,0.533,0.354,0.0,1,0.586
Townie,X Ambassadors,68pyB1eDufuDzXXhwh4vCQ,No Strings,spotify:track:68pyB1eDufuDzXXhwh4vCQ,0.12,0.572,42,0.0517,0.526,0.0929,0.00547,0,0.78
Papercuts,Linkin Park,2rLaeazDDZz0gGFZhFy8AI,CASTLE OF GLASS,spotify:track:2rLaeazDDZz0gGFZhFy8AI,0.0814,0.615,"",0.0276,0.66,0.122,0.0015,0,0.913
Scarlet 2 CLAUDE,Doja Cat,0FdW7MEbDKdz8v5TXqcFkG,MASC (feat. Teezo Touchdown),spotify:track:0FdW7MEbDKdz8v5TXqcFkG,0.452,0.633,72,0.0311,0.376,0.157,3.25E-6,1,0.474
